Date,Price
2018-08-23,57.16
2018-08-24,57.56
2018-08-27,58.12
2018-08-28,59.03
2018-08-29,59.42
2018-08-30,60.84
2018-08-31,60.05
2018-09-03,60.08
2018-09-04,59.3
2018-09-05,59.44
2018-09-06,60.03
2018-09-07,61.91
2018-09-10,61.37
2018-09-11,59.21
2018-09-12,60.55
2018-09-14,61.5
2018-09-17,61.64
2018-09-18,61.27
2018-09-19,62.12
2018-09-21,62.52
2018-09-24,60.77
2018-09-25,60.1
2018-09-26,60.89
2018-09-27,61.16
2018-09-28,58.12
2018-10-01,58.32
2018-10-03,57.96
2018-10-04,58.23
2018-10-05,56.8
2018-10-08,55.98
2018-10-09,57.25
2018-10-10,58.37
2018-10-11,55.52
2018-10-12,57.65
2018-10-15,57.0
2018-10-16,57.28
2018-10-17,55.47
2018-10-19,55.49
2018-10-22,54.48
2018-10-23,54.56
2018-10-24,55.01
2018-10-25,54.58
2018-10-26,55.16
2018-10-29,57.37
2018-10-30,56.45
2018-10-31,55.38
2018-11-01,55.66
2018-11-02,57.41
2018-11-05,57.74
2018-11-06,57.58
2018-11-07,58.02
2018-11-09,57.22
2018-11-12,58.28
2018-11-13,58.92
2018-11-14,58.91
2018-11-15,58.94
2018-11-16,57.41
2018-11-19,58.24
2018-11-20,56.33
2018-11-21,55.14
2018-11-22,53.97
2018-11-26,53.07
2018-11-27,52.23
2018-11-28,52.4
2018-11-29,53.35
2018-11-30,52.95
2018-12-03,53.81
2018-12-04,53.82
2018-12-05,51.77
2018-12-06,51.02
2018-12-07,50.93
2018-12-10,50.28
2018-12-11,50.08
2018-12-12,52.02
2018-12-13,51.23
2018-12-14,51.35
2018-12-17,52.4
2018-12-18,52.7
2018-12-19,52.74
2018-12-20,52.34
2018-12-21,52.02
2018-12-24,51.37
2018-12-26,51.34
2018-12-27,50.65
2018-12-28,51.28
2018-12-31,52.1
2019-01-01,51.58
2019-01-02,49.37
2019-01-03,48.12
2019-01-04,48.77
2019-01-07,48.55
2019-01-08,49.13
2019-01-09,47.92
2019-01-10,48.04
2019-01-11,47.42
2019-01-14,47.09
2019-01-15,47.51
2019-01-16,47.45
2019-01-17,47.31
2019-01-18,47.06
2019-01-21,47.17
2019-01-22,45.66
2019-01-23,46.46
2019-01-24,46.08
2019-01-25,45.29
2019-01-28,44.57
2019-01-29,44.38
2019-01-30,46.74
2019-01-31,47.67
2019-02-01,47.47
2019-02-04,47.6
2019-02-05,46.47
2019-02-06,48.51
2019-02-07,48.91
2019-02-08,46.88
2019-02-11,48.07
2019-02-12,48.74
2019-02-13,48.4
2019-02-14,48.26
2019-02-15,46.75
2019-02-18,46.55
2019-02-19,47.09
